date,series_key,value
2024-05-08,interbank_1m,4.32
2024-05-08,interbank_1w,4.43
2024-05-08,interbank_2w,4.48
2024-05-08,interbank_3m,5.06
2024-05-08,interbank_6m,5.37
2024-05-08,interbank_on,4.22
2024-05-09,interbank_1m,4.5
2024-05-09,interbank_1w,4.4
2024-05-09,interbank_2w,4.43
2024-05-09,interbank_3m,4.98
2024-05-09,interbank_6m,5.48
2024-05-09,interbank_on,4.22
2024-05-10,interbank_1m,4.48
2024-05-10,interbank_1w,4.43
2024-05-10,interbank_2w,4.4
2024-05-10,interbank_3m,4.41
2024-05-10,interbank_6m,5.39
2024-05-10,interbank_on,4.23
2024-05-13,interbank_1m,4.59
2024-05-13,interbank_1w,4.4
2024-05-13,interbank_2w,4.51
2024-05-13,interbank_3m,4.64
2024-05-13,interbank_6m,4.29
2024-05-13,interbank_on,4.24
2024-05-14,interbank_1m,4.48
2024-05-14,interbank_1w,4.36
2024-05-14,interbank_2w,4.48
2024-05-14,interbank_3m,5.02
2024-05-14,interbank_6m,5.3
2024-05-14,interbank_on,4.22
2024-05-15,interbank_1m,4.69
2024-05-15,interbank_1w,4.33
2024-05-15,interbank_2w,4.65
2024-05-15,interbank_3m,5.03
2024-05-15,interbank_6m,5.12
2024-05-15,interbank_on,4.22
2024-05-16,interbank_1m,4.51
2024-05-16,interbank_1w,4.21
2024-05-16,interbank_2w,4.54
2024-05-16,interbank_3m,5.16
2024-05-16,interbank_6m,5.31
2024-05-16,interbank_on,3.94
2024-05-17,interbank_1m,4.32
2024-05-17,interbank_1w,4.04
2024-05-17,interbank_2w,4.21
2024-05-17,interbank_3m,4.93
2024-05-17,interbank_6m,5.15
2024-05-17,interbank_on,3.9
2024-05-20,interbank_1m,4.38
2024-05-20,interbank_1w,4.22
2024-05-20,interbank_2w,4.29
2024-05-20,interbank_3m,4.9
2024-05-20,interbank_6m,4.7
2024-05-20,interbank_on,4.01
2024-05-21,interbank_1m,4.41
2024-05-21,interbank_1w,4.32
2024-05-21,interbank_2w,4.29
2024-05-21,interbank_3m,4.99
2024-05-21,interbank_6m,4.65
2024-05-21,interbank_on,4.08
2024-05-22,interbank_1m,4.87
2024-05-22,interbank_1w,4.7
2024-05-22,interbank_2w,4.55
2024-05-22,interbank_3m,5.07
2024-05-22,interbank_6m,4.85
2024-05-22,interbank_on,4.55
2024-05-23,interbank_1m,5.42
2024-05-23,interbank_1w,5.27
2024-05-23,interbank_2w,5.02
2024-05-23,interbank_3m,5.38
2024-05-23,interbank_6m,5.08
2024-05-23,interbank_on,5.1
2024-05-24,interbank_1m,4.73
2024-05-24,interbank_1w,5.21
2024-05-24,interbank_2w,5.13
2024-05-24,interbank_3m,5.2
2024-05-24,interbank_6m,5.71
2024-05-24,interbank_on,5.06
2024-05-27,interbank_1m,5.3
2024-05-27,interbank_1w,5.23
2024-05-27,interbank_2w,5.16
2024-05-27,interbank_3m,4.94
2024-05-27,interbank_6m,4.83
2024-05-27,interbank_on,5.06
2024-05-28,interbank_1m,5.13
2024-05-28,interbank_1w,5.06
2024-05-28,interbank_2w,5.18
2024-05-28,interbank_3m,5.46
2024-05-28,interbank_6m,5.12
2024-05-28,interbank_on,4.79
2024-05-29,interbank_1m,5.35
2024-05-29,interbank_1w,4.4
2024-05-29,interbank_2w,4.93
2024-05-29,interbank_3m,5.5
2024-05-29,interbank_6m,4.79
2024-05-29,interbank_on,4.03
2024-05-30,interbank_1m,4.61
2024-05-30,interbank_1w,3.99
2024-05-30,interbank_2w,4.29
2024-05-30,interbank_3m,5.57
2024-05-30,interbank_6m,4.79
2024-05-30,interbank_on,3.37
2024-05-31,interbank_1m,4.18
2024-05-31,interbank_1w,3.83
2024-05-31,interbank_2w,4.41
2024-05-31,interbank_3m,5.44
2024-05-31,interbank_6m,5.53
2024-05-31,interbank_on,2.85
2024-06-03,interbank_1m,4.74
2024-06-03,interbank_1w,4.11
2024-06-03,interbank_2w,4.28
2024-06-03,interbank_3m,5.28
2024-06-03,interbank_6m,5.67
2024-06-03,interbank_on,3.86
2024-06-04,interbank_1m,4.48
2024-06-04,interbank_1w,4.31
2024-06-04,interbank_2w,4.34
2024-06-04,interbank_3m,5.27
2024-06-04,interbank_6m,5.65
2024-06-04,interbank_on,4.01
2024-06-05,interbank_1m,4.53
2024-06-05,interbank_1w,4.22
2024-06-05,interbank_2w,4.37
2024-06-05,interbank_3m,5.25
2024-06-05,interbank_6m,5.88
2024-06-05,interbank_on,3.9
2024-06-06,interbank_1m,4.53
2024-06-06,interbank_1w,4.29
2024-06-06,interbank_2w,4.36
2024-06-06,interbank_3m,5.23
2024-06-06,interbank_6m,5.84
2024-06-06,interbank_on,3.96
2024-06-07,interbank_1m,4.52
2024-06-07,interbank_1w,4.2
2024-06-07,interbank_2w,4.36
2024-06-07,interbank_3m,5.45
2024-06-07,interbank_6m,5.76
2024-06-07,interbank_on,4.01
2024-06-10,interbank_1m,4.54
2024-06-10,interbank_1w,4.34
2024-06-10,interbank_2w,4.49
2024-06-10,interbank_3m,5.29
2024-06-10,interbank_6m,5.93
2024-06-10,interbank_on,4.22
2024-06-11,interbank_1m,4.75
2024-06-11,interbank_1w,4.59
2024-06-11,interbank_2w,4.71
2024-06-11,interbank_3m,5.46
2024-06-11,interbank_6m,5.63
2024-06-11,interbank_on,4.41
2024-06-12,interbank_1m,4.81
2024-06-12,interbank_1w,4.7
2024-06-12,interbank_2w,4.74
2024-06-12,interbank_3m,5.2
2024-06-12,interbank_6m,5.72
2024-06-12,interbank_on,4.53
2024-06-13,interbank_1m,4.78
2024-06-13,interbank_1w,4.66
2024-06-13,interbank_2w,4.6
2024-06-13,interbank_3m,5.44
2024-06-13,interbank_6m,5.85
2024-06-13,interbank_on,4.52
2024-06-14,interbank_1m,4.68
2024-06-14,interbank_1w,4.49
2024-06-14,interbank_2w,4.52
2024-06-14,interbank_3m,4.89
2024-06-14,interbank_6m,5.75
2024-06-14,interbank_on,4.42
2024-06-17,interbank_1m,4.68
2024-06-17,interbank_1w,4.51
2024-06-17,interbank_2w,4.47
2024-06-17,interbank_3m,4.92
2024-06-17,interbank_6m,5.68
2024-06-17,interbank_on,4.36
2024-06-18,interbank_1m,4.62
2024-06-18,interbank_1w,4.43
2024-06-18,interbank_2w,4.56
2024-06-18,interbank_3m,5.21
2024-06-18,interbank_6m,5.72
2024-06-18,interbank_on,4.19
2024-06-19,interbank_1m,4.73
2024-06-19,interbank_1w,4.09
2024-06-19,interbank_2w,4.54
2024-06-19,interbank_3m,4.21
2024-06-19,interbank_6m,5.74
2024-06-19,interbank_on,3.87
2024-06-20,interbank_1m,4.66
2024-06-20,interbank_1w,3.72
2024-06-20,interbank_2w,4.48
2024-06-20,interbank_3m,4.94
2024-06-20,interbank_6m,5.02
2024-06-20,interbank_on,3.46
2024-06-21,interbank_1m,4.59
2024-06-21,interbank_1w,4.07
2024-06-21,interbank_2w,4.35
2024-06-21,interbank_3m,4.89
2024-06-21,interbank_6m,5.12
2024-06-21,interbank_on,3.35
2024-06-24,interbank_1m,4.51
2024-06-24,interbank_1w,4.07
2024-06-24,interbank_2w,4.42
2024-06-24,interbank_3m,4.85
2024-06-24,interbank_6m,5.26
2024-06-24,interbank_on,3.54
2024-06-25,interbank_1m,4.54
2024-06-25,interbank_1w,4.13
2024-06-25,interbank_2w,4.41
2024-06-25,interbank_3m,5.05
2024-06-25,interbank_6m,5.12
2024-06-25,interbank_on,3.45
2024-06-26,interbank_1m,4.39
2024-06-26,interbank_1w,4.11
2024-06-26,interbank_2w,4.48
2024-06-26,interbank_3m,5.1
2024-06-26,interbank_6m,5.84
2024-06-26,interbank_on,2.84
2024-06-27,interbank_1m,4.68
2024-06-27,interbank_1w,4.26
2024-06-27,interbank_2w,4.6
2024-06-27,interbank_3m,4.99
2024-06-27,interbank_6m,4.71
2024-06-27,interbank_on,2.84
2024-06-28,interbank_1m,4.77
2024-06-28,interbank_1w,4.67
2024-06-28,interbank_2w,4.89
2024-06-28,interbank_3m,5.34
2024-06-28,interbank_6m,5.38
2024-06-28,interbank_on,4.39
2024-07-01,interbank_1m,4.63
2024-07-01,interbank_1w,4.86
2024-07-01,interbank_2w,4.63
2024-07-01,interbank_3m,5.63
2024-07-01,interbank_6m,5.85
2024-07-01,interbank_on,4.76
2024-07-02,interbank_1m,4.69
2024-07-02,interbank_1w,4.64
2024-07-02,interbank_2w,4.44
2024-07-02,interbank_3m,5.24
2024-07-02,interbank_6m,5.71
2024-07-02,interbank_on,4.47
2024-07-03,interbank_1m,4.69
2024-07-03,interbank_1w,4.58
2024-07-03,interbank_2w,4.61
2024-07-03,interbank_3m,5.24
2024-07-03,interbank_6m,5.66
2024-07-03,interbank_on,4.45
2024-07-04,interbank_1m,4.6
2024-07-04,interbank_1w,4.66
2024-07-04,interbank_2w,4.81
2024-07-04,interbank_3m,5.6
2024-07-04,interbank_6m,5.65
2024-07-04,interbank_on,4.5
2024-07-05,interbank_1m,4.61
2024-07-05,interbank_1w,4.77
2024-07-05,interbank_2w,4.78
2024-07-05,interbank_3m,4.95
2024-07-05,interbank_6m,6.03
2024-07-05,interbank_on,4.69
2024-07-08,interbank_1m,4.75
2024-07-08,interbank_1w,4.98
2024-07-08,interbank_2w,4.79
2024-07-08,interbank_3m,5.33
2024-07-08,interbank_6m,5.88
2024-07-08,interbank_on,4.83
2024-07-09,interbank_1m,4.4
2024-07-09,interbank_1w,5.07
2024-07-09,interbank_2w,4.97
2024-07-09,interbank_3m,5.17
2024-07-09,interbank_6m,5.36
2024-07-09,interbank_on,4.98
2024-07-10,interbank_1m,4.63
2024-07-10,interbank_1w,4.89
2024-07-10,interbank_2w,4.94
